
id,creator_id,product_id,title,thumbnail_url,video_url,is_live,viewers_count,likes_count,created_at
770e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440001,660e8400-e29b-41d4-a716-446655440001,MacBook Pro M3 Unboxing & Review,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=400&h=600&fit=crop,https://jxjuoqgkthqdyaevhqaj.supabase.co/storage/v1/object/public/bucket1//smartphone2.mp4,true,1245,856,2024-01-15T15:00:00Z
770e8400-e29b-41d4-a716-446655440002,550e8400-e29b-41d4-a716-446655440004,660e8400-e29b-41d4-a716-446655440002,Gaming Setup Tour & Laptop Demo,https://images.unsplash.com/photo-1498050108023-c5249f4df085?w=400&h=600&fit=crop,https://jxjuoqgkthqdyaevhqaj.supabase.co/storage/v1/object/public/bucket1//smartphone2.mp4,true,892,643,2024-01-16T15:00:00Z
770e8400-e29b-41d4-a716-446655440003,550e8400-e29b-41d4-a716-446655440001,660e8400-e29b-41d4-a716-446655440003,iPhone 15 Pro Max First Look,https://images.unsplash.com/photo-1592750475338-74b7b21085ab?w=400&h=600&fit=crop,https://jxjuoqgkthqdyaevhqaj.supabase.co/storage/v1/object/public/bucket1//smartphone.mp4,true,2847,1156,2024-01-17T15:00:00Z
770e8400-e29b-41d4-a716-446655440004,550e8400-e29b-41d4-a716-446655440001,660e8400-e29b-41d4-a716-446655440004,Premium Headphones Sound Test,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400&h=600&fit=crop,https://jxjuoqgkthqdyaevhqaj.supabase.co/storage/v1/object/public/bucket1//headphone.mp4,false,1456,734,2024-01-18T15:00:00Z
770e8400-e29b-41d4-a716-446655440005,550e8400-e29b-41d4-a716-446655440002,660e8400-e29b-41d4-a716-446655440005,Summer Fashion Haul 2024,https://images.unsplash.com/photo-1515372039744-b8f02a3ae446?w=400&h=600&fit=crop,https://jxjuoqgkthqdyaevhqaj.supabase.co/storage/v1/object/public/bucket1//cloth.mp4,true,3421,1287,2024-01-19T15:00:00Z
770e8400-e29b-41d4-a716-446655440006,550e8400-e29b-41d4-a716-446655440002,660e8400-e29b-41d4-a716-446655440006,Casual Wear Styling Tips,https://images.unsplash.com/photo-1441986300917-64674bd600d8?w=400&h=600&fit=crop,https://jxjuoqgkthqdyaevhqaj.supabase.co/storage/v1/object/public/bucket1//cloth.mp4,false,2156,945,2024-01-20T15:00:00Z
770e8400-e29b-41d4-a716-446655440007,550e8400-e29b-41d4-a716-446655440002,660e8400-e29b-41d4-a716-446655440007,Sneaker Review & Styling,https://images.unsplash.com/photo-1549298916-b41d501d3772?w=400&h=600&fit=crop,https://jxjuoqgkthqdyaevhqaj.supabase.co/storage/v1/object/public/bucket1//shoe.mp4,true,1876,698,2024-01-21T15:00:00Z
770e8400-e29b-41d4-a716-446655440008,550e8400-e29b-41d4-a716-446655440003,660e8400-e29b-41d4-a716-446655440008,Skincare Routine Secrets,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=400&h=600&fit=crop,https://jxjuoqgkthqdyaevhqaj.supabase.co/storage/v1/object/public/bucket1//lipstick.mp4,true,4532,1456,2024-01-22T15:00:00Z
770e8400-e29b-41d4-a716-446655440009,550e8400-e29b-41d4-a716-446655440003,660e8400-e29b-41d4-a716-446655440009,Perfect Red Lipstick Application,https://images.unsplash.com/photo-1586495777744-4413f21062fa?w=400&h=600&fit=crop,https://jxjuoqgkthqdyaevhqaj.supabase.co/storage/v1/object/public/bucket1//lipstick.mp4,false,2987,1312,2024-01-23T15:00:00Z
770e8400-e29b-41d4-a716-446655440010,550e8400-e29b-41d4-a716-446655440003,660e8400-e29b-41d4-a716-446655440010,Makeup Tutorial Live Session,https://images.unsplash.com/photo-1596462502278-27bfdc403348?w=400&h=600&fit=crop,https://jxjuoqgkthqdyaevhqaj.supabase.co/storage/v1/object/public/bucket1//lipstick.mp4,true,3789,1678,2024-01-24T15:00:00Z
