
id,name,price,original_price,description,category,images,stock,sku,created_at
660e8400-e29b-41d4-a716-446655440001,MacBook Pro 14 M3,1999.00,2299.00,Latest MacBook Pro with M3 chip perfect for professionals,Electronics,"{""https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=400&h=600&fit=crop""}",50,APPLE-MBP-M3-14,2024-01-15T10:00:00Z
660e8400-e29b-41d4-a716-446655440002,Gaming Laptop RTX 4060,899.00,1099.00,High-performance gaming laptop with RTX graphics,Electronics,"{""https://images.unsplash.com/photo-1498050108023-c5249f4df085?w=400&h=600&fit=crop""}",30,GAMING-RTX-4060,2024-01-16T10:00:00Z
660e8400-e29b-41d4-a716-446655440003,iPhone 15 Pro Max,1199.00,1299.00,Most advanced iPhone with titanium design and pro camera,Electronics,"{""https://images.unsplash.com/photo-1592750475338-74b7b21085ab?w=400&h=600&fit=crop""}",75,IPHONE-15-PRO-MAX,2024-01-17T10:00:00Z
660e8400-e29b-41d4-a716-446655440004,Sony WH-1000XM5,349.00,399.00,Industry-leading noise cancellation headphones,Electronics,"{""https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400&h=600&fit=crop""}",120,SONY-WH1000XM5,2024-01-18T10:00:00Z
660e8400-e29b-41d4-a716-446655440005,Summer Floral Dress,149.00,199.00,Beautiful lightweight dress perfect for summer occasions,Clothing,"{""https://images.unsplash.com/photo-1515372039744-b8f02a3ae446?w=400&h=600&fit=crop""}",200,DRESS-SUMMER-001,2024-01-19T10:00:00Z
660e8400-e29b-41d4-a716-446655440006,Premium Cotton T-Shirt,89.00,120.00,Comfortable and stylish everyday wear,Clothing,"{""https://images.unsplash.com/photo-1441986300917-64674bd600d8?w=400&h=600&fit=crop""}",300,TSHIRT-COTTON-001,2024-01-20T10:00:00Z
660e8400-e29b-41d4-a716-446655440007,Nike Air Jordan 1,169.00,199.00,Classic basketball sneaker with timeless design,Clothing,"{""https://images.unsplash.com/photo-1549298916-b41d501d3772?w=400&h=600&fit=crop""}",80,NIKE-AJ1-HIGH,2024-01-21T10:00:00Z
660e8400-e29b-41d4-a716-446655440008,Anti-Aging Serum,79.00,99.00,Revolutionary skincare formula for younger looking skin,Beauty,"{""https://images.unsplash.com/photo-1556228720-195a672e8a03?w=400&h=600&fit=crop""}",150,SERUM-ANTIAGE-001,2024-01-22T10:00:00Z
660e8400-e29b-41d4-a716-446655440009,Matte Red Lipstick,24.00,32.00,Long-lasting matte formula in classic red shade,Beauty,"{""https://images.unsplash.com/photo-1586495777744-4413f21062fa?w=400&h=600&fit=crop""}",250,LIPSTICK-MATTE-RED,2024-01-23T10:00:00Z
660e8400-e29b-41d4-a716-446655440010,Professional Makeup Kit,45.00,65.00,Complete makeup set for professional results,Beauty,"{""https://images.unsplash.com/photo-1596462502278-27bfdc403348?w=400&h=600&fit=crop""}",100,MAKEUP-KIT-PRO,2024-01-24T10:00:00Z
